etiqueta;mac;serial;firmware;data;resultado;itens_reprovados;observacoes;relatorio
2026-02-7436;00:80:E1:6C:D6:6E;203237463547501700350051;neonex_cftv_v-3.2.0.144;2026-09-14 16:39;aprovada;;LPR nao testada nesta rodada;Debug/bancada/203237463547501700350051_20260914-1639.log
2026-02-7437;00:80:E1:40:F0:78;20323746354750170041004B;neonex_cftv_v-3.2.0.144;2026-09-14 17:53;aprovada;;retrabalho 2026-09-13: W25Q64 e entrada da fonte, 2026-09-14: R128/R129 do INA226 (corrente presa) e BC817 do K1 (placa reiniciava sem fonte) trocados, LPR nao testada nesta rodada;Debug/bancada/20323746354750170041004B_20260914-1753.log
2026-02-7438;00:80:E1:65:D6:6E;2032374635475017002C0051;neonex_cftv_v-3.2.0.144;2026-09-14 16:35;aprovada;;LPR nao testada nesta rodada;Debug/bancada/2026-02-7438_2032374635475017002C0051_20260914-1635.log
2026-02-7439;00:80:E1:54:D6:6E;2032374635475017003D0051;neonex_cftv_v-3.2.0.144;2026-09-14 17:41;aprovada;;LPR nao testada nesta rodada;Debug/bancada/2032374635475017003D0051_20260914-1741.log
2026-02-7440;00:80:E1:54:FC:7B;2032374635475017003D004C;neonex_cftv_v-3.2.0.129;2026-09-13 16:44;aprovada;;;Debug/bancada/2026-02-7440_2032374635475017003D004C_20260913-1644.log
2026-02-7441;00:80:E1:51:FC:7B;20323746354750170040004C;neonex_cftv_v-3.2.0.144;2026-09-14 16:43;aprovada;;LPR nao testada nesta rodada;Debug/bancada/20323746354750170040004C_20260914-1643.log
2026-02-7442;00:80:E1:79:F0:78;20323746354750170028004B;neonex_cftv_v-3.2.0.157;2026-09-15 13:31;aprovada;;LED da saida bullet2 trocado (2026-09-13), DPS 'fim de vida' com rede presente: retrabalho na cadeia do monitor do TMOV (2026-09-14), LPR nao testada nesta rodada;Debug/bancada/20323746354750170028004B_20260915-1331.log
2026-02-7443;00:80:E1:FE:D2:61;203237463547501700270052;neonex_cftv_v-3.2.0.144;2026-09-14 17:49;aprovada;;LPR nao testada nesta rodada;Debug/bancada/203237463547501700270052_20260914-1749.log
2026-02-7444;00:80:E1:4F:B0:56;203237463547501700560039;neonex_cftv_v-3.2.0.144;2026-09-14 16:08;reprovada;LPR correntes das pernas (retrabalho SEL0->INA);retrabalho 2026-09-14: BC817 do K1 (placa reiniciava sem rede) e R128/R129 do INA226 estavam > 10 kohm em vez de 10R (corrente presa em amperes), trocados;Debug/bancada/2026-02-7444_203237463547501700560039_20260914-1608.log
2026-02-7445;;;;2026-09-13 16:05;reprovada;SWD: nucleo nao responde (2 sondas, 3,29 V no alvo), nao respondeu na rede;nucleo nao responde ao SWD com duas sondas, 3,29 V no alvo, nao respondeu na rede;
